hour,minutes,count,대여/반납,holiday,weather,Rain,Month,AM/PM,Day_w,Time
0,0,19.25,0,2,-3.2,0,1,1,1,0:00
0,30,20,0,2,-3.2,0,1,1,1,0:30
1,0,20.5,1,2,-3.3,0,1,1,1,1:00
2,0,20,-1,2,-3.7,0,1,1,1,2:00
2,30,16.25,-5,2,-3.7,0,1,1,1,2:30
3,0,13.83333333,-2,2,-4,0,1,1,1,3:00
3,30,12.5,-2,2,-4,0,1,1,1,3:30
4,0,9.5,-2,2,-4.2,0,1,1,1,4:00
4,30,9,0,2,-4.2,0,1,1,1,4:30
6,0,9.5,1,2,-4.5,0,1,1,1,6:00
7,0,8.666666667,-2,2,-4.7,0,1,1,1,7:00
8,0,8,0,2,-5,0,1,1,1,8:00
9,0,8.666666667,1,2,-4.3,0,1,1,1,9:00
9,30,10,1,2,-4.3,0,1,1,1,9:30
10,0,10.66666667,2,2,-1.6,0,1,1,1,10:00
10,30,13,1,2,-1.6,0,1,1,1,10:30
11,0,13.5,1,2,0.1,0,1,1,1,11:00
11,30,13,-1,2,0.1,0,1,1,1,11:30
12,0,13.75,0,2,1.5,0,1,2,1,12:00
12,30,13.6,1,2,1.5,0,1,2,1,12:30
13,0,14,0,2,2.4,0,1,2,1,13:00
13,30,15.66666667,2,2,2.4,0,1,2,1,13:30
14,0,17,1,2,3.7,0,1,2,1,14:00
14,30,15.16666667,-3,2,3.7,0,1,2,1,14:30
15,0,15,1,2,3,0,1,2,1,15:00
15,30,15.5,1,2,3,0,1,2,1,15:30
16,0,15.2,0,2,3,0,1,2,1,16:00
16,30,15,-1,2,3,0,1,2,1,16:30
17,0,14,-1,2,1.8,0,1,2,1,17:00
17,30,15.33333333,2,2,1.8,0,1,2,1,17:30
18,0,15.66666667,0,2,0.8,0,1,2,1,18:00
18,30,15.5,-1,2,0.8,0,1,2,1,18:30
19,0,15,-1,2,-0.1,0,1,2,1,19:00
19,30,14,0,2,-0.1,0,1,2,1,19:30
20,0,14,0,2,-0.3,0,1,2,1,20:00
22,0,14,0,2,-1.3,0,1,2,1,22:00
4,0,20,1,1,-2.7,0,1,1,2,4:00
6,30,15,1,1,-3.2,0,1,1,2,6:30
7,0,5.666666667,1,1,-3.2,0,1,1,2,7:00
7,30,8,3,1,-3.2,0,1,1,2,7:30
8,0,12.4,4,1,-3.4,0,1,1,2,8:00
8,30,15.33333333,5,1,-3.4,0,1,1,2,8:30
9,0,19.14285714,3,1,-3.1,0,1,1,2,9:00
9,30,20.5,-1,1,-3.1,0,1,1,2,9:30
10,0,19.7,2,1,-1.4,0,1,1,2,10:00
10,30,22,0,1,-1.4,0,1,1,2,10:30
11,0,22,0,1,-0.4,0,1,1,2,11:00
11,30,23,1,1,-0.4,0,1,1,2,11:30
12,30,23.5,1,1,0.9,0,1,2,2,12:30
14,0,25.2,2,1,1.7,0,1,2,2,14:00
14,30,27.4,2,1,1.7,0,1,2,2,14:30
15,0,28.8,1,1,1.5,0,1,2,2,15:00
15,30,29.28571429,1,1,1.5,0,1,2,2,15:30
16,0,30.6,0,1,1.3,0,1,2,2,16:00
16,30,28.85714286,0,1,1.3,0,1,2,2,16:30
17,0,33.25,4,1,0.3,0,1,2,2,17:00
17,30,33,-2,1,0.3,0,1,2,2,17:30
18,0,32.2,2,1,-0.8,0,1,2,2,18:00
18,30,32.23076923,-4,1,-0.8,0,1,2,2,18:30
19,0,27.78571429,-2,1,-1.3,0,1,2,2,19:00
19,30,28.33333333,-1,1,-1.3,0,1,2,2,19:30
20,0,25.0952381,-2,1,-1.9,0,1,2,2,20:00
20,30,26,0,1,-1.9,0,1,2,2,20:30
21,0,24.15384615,0,1,-2.6,0,1,2,2,21:00
21,30,24.25,0,1,-2.6,0,1,2,2,21:30
22,0,24,-1,1,-3.4,0,1,2,2,22:00
22,30,22.83333333,-2,1,-3.4,0,1,2,2,22:30
23,0,21.5,0,1,-3.8,0,1,2,2,23:00
23,30,21,-1,1,-3.8,0,1,2,2,23:30
0,0,21.33333333,0,1,-4.3,0,1,1,3,0:00
0,30,22,2,1,-4.3,0,1,1,3,0:30
1,0,24,1,1,-5,0,1,1,3,1:00
1,30,24.5,1,1,-5,0,1,1,3,1:30
2,0,24.25,-1,1,-5.5,0,1,1,3,2:00
2,30,23.5,-1,1,-5.5,0,1,1,3,2:30
3,0,23.66666667,1,1,-6.1,0,1,1,3,3:00
7,0,5.666666667,1,1,-6.9,0,1,1,3,7:00
7,30,8.416666667,6,1,-6.9,0,1,1,3,7:30
8,0,17.08,11,1,-7,0,1,1,3,8:00
